curb-weight,engine-size,horsepower,city-mpg,length,make,price
2548.0,130.0,111.0,21.0,168.8,alfa-romero,13495.0
2548.0,130.0,111.0,21.0,168.8,alfa-romero,16500.0
2823.0,152.0,154.0,19.0,171.2,alfa-romero,16500.0
2337.0,109.0,102.0,24.0,176.6,audi,13950.0
2824.0,136.0,115.0,18.0,176.6,audi,17450.0
2507.0,136.0,110.0,19.0,177.3,audi,15250.0
2844.0,136.0,110.0,19.0,192.7,audi,17710.0
2954.0,136.0,110.0,19.0,192.7,audi,18920.0
3086.0,131.0,140.0,17.0,192.7,audi,23875.0
2395.0,108.0,101.0,23.0,176.8,bmw,16430.0
2395.0,108.0,101.0,23.0,176.8,bmw,16925.0
2710.0,164.0,121.0,21.0,176.8,bmw,20970.0
2765.0,164.0,121.0,21.0,176.8,bmw,21105.0
3055.0,164.0,121.0,20.0,189.0,bmw,24565.0
3230.0,209.0,182.0,16.0,189.0,bmw,30760.0
3380.0,209.0,182.0,16.0,193.8,bmw,41315.0
3505.0,209.0,182.0,15.0,197.0,bmw,36880.0
1488.0,61.0,48.0,47.0,141.1,chevrolet,5151.0
1874.0,90.0,70.0,38.0,155.9,chevrolet,6295.0
1909.0,90.0,70.0,38.0,158.8,chevrolet,6575.0
1876.0,90.0,68.0,37.0,157.3,dodge,5572.0
1876.0,90.0,68.0,31.0,157.3,dodge,6377.0
2128.0,98.0,102.0,24.0,157.3,dodge,7957.0
1967.0,90.0,68.0,31.0,157.3,dodge,6229.0
1989.0,90.0,68.0,31.0,157.3,dodge,6692.0
1989.0,90.0,68.0,31.0,157.3,dodge,7609.0
2191.0,98.0,102.0,24.0,157.3,dodge,8558.0
2535.0,122.0,88.0,24.0,174.6,dodge,8921.0
2811.0,156.0,145.0,19.0,173.2,dodge,12964.0
1713.0,92.0,58.0,49.0,144.6,honda,6479.0
1819.0,92.0,76.0,31.0,144.6,honda,6855.0
1837.0,79.0,60.0,38.0,150.0,honda,5399.0
1940.0,92.0,76.0,30.0,150.0,honda,6529.0
1956.0,92.0,76.0,30.0,150.0,honda,7129.0
2010.0,92.0,76.0,30.0,163.4,honda,7295.0
2024.0,92.0,76.0,30.0,157.1,honda,7295.0
2236.0,110.0,86.0,27.0,167.5,honda,7895.0
2289.0,110.0,86.0,27.0,167.5,honda,9095.0
2304.0,110.0,86.0,27.0,175.4,honda,8845.0
2372.0,110.0,86.0,27.0,175.4,honda,10295.0
2465.0,110.0,101.0,24.0,175.4,honda,12945.0
2293.0,110.0,100.0,25.0,169.1,honda,10345.0
2337.0,111.0,78.0,24.0,170.7,isuzu,6785.0
2734.0,119.0,90.0,24.0,172.6,isuzu,11048.0
4066.0,258.0,176.0,15.0,199.6,jaguar,32250.0
4066.0,258.0,176.0,15.0,199.6,jaguar,35550.0
3950.0,326.0,262.0,13.0,191.7,jaguar,36000.0
1890.0,91.0,68.0,30.0,159.1,mazda,5195.0
1900.0,91.0,68.0,31.0,159.1,mazda,6095.0
1905.0,91.0,68.0,31.0,159.1,mazda,6795.0
1945.0,91.0,68.0,31.0,166.8,mazda,6695.0
1950.0,91.0,68.0,31.0,166.8,mazda,7395.0
2380.0,70.0,101.0,17.0,169.0,mazda,10945.0
2380.0,70.0,101.0,17.0,169.0,mazda,11845.0
2385.0,70.0,101.0,17.0,169.0,mazda,13645.0
2500.0,80.0,135.0,16.0,169.0,mazda,15645.0
2385.0,122.0,84.0,26.0,177.8,mazda,8845.0
2410.0,122.0,84.0,26.0,177.8,mazda,8495.0
2385.0,122.0,84.0,26.0,177.8,mazda,10595.0
2410.0,122.0,84.0,26.0,177.8,mazda,10245.0
2443.0,122.0,64.0,36.0,177.8,mazda,10795.0
2425.0,122.0,84.0,26.0,177.8,mazda,11245.0
2670.0,140.0,120.0,19.0,175.0,mazda,18280.0
2700.0,134.0,72.0,31.0,175.0,mazda,18344.0
3515.0,183.0,123.0,22.0,190.9,mercedes-benz,25552.0
3750.0,183.0,123.0,22.0,190.9,mercedes-benz,28248.0
3495.0,183.0,123.0,22.0,187.5,mercedes-benz,28176.0
3770.0,183.0,123.0,22.0,202.6,mercedes-benz,31600.0
3740.0,234.0,155.0,16.0,202.6,mercedes-benz,34184.0
3685.0,234.0,155.0,16.0,180.3,mercedes-benz,35056.0
3900.0,308.0,184.0,14.0,208.1,mercedes-benz,40960.0
3715.0,304.0,184.0,14.0,199.2,mercedes-benz,45400.0
2910.0,140.0,175.0,19.0,178.4,mercury,16503.0
1918.0,92.0,68.0,37.0,157.3,mitsubishi,5389.0
1944.0,92.0,68.0,31.0,157.3,mitsubishi,6189.0
2004.0,92.0,68.0,31.0,157.3,mitsubishi,6669.0
2145.0,98.0,102.0,24.0,157.3,mitsubishi,7689.0
2370.0,110.0,116.0,23.0,173.0,mitsubishi,9959.0
2328.0,122.0,88.0,25.0,173.0,mitsubishi,8499.0
2833.0,156.0,145.0,19.0,173.2,mitsubishi,12629.0
2921.0,156.0,145.0,19.0,173.2,mitsubishi,14869.0
2926.0,156.0,145.0,19.0,173.2,mitsubishi,14489.0
2365.0,122.0,88.0,25.0,172.4,mitsubishi,6989.0
2405.0,122.0,88.0,25.0,172.4,mitsubishi,8189.0
2403.0,110.0,116.0,23.0,172.4,mitsubishi,9279.0
2403.0,110.0,116.0,23.0,172.4,mitsubishi,9279.0
1889.0,97.0,69.0,31.0,165.3,nissan,5499.0
2017.0,103.0,55.0,45.0,165.3,nissan,7099.0
1918.0,97.0,69.0,31.0,165.3,nissan,6649.0
1938.0,97.0,69.0,31.0,165.3,nissan,6849.0
2024.0,97.0,69.0,31.0,170.2,nissan,7349.0
1951.0,97.0,69.0,31.0,165.3,nissan,7299.0
2028.0,97.0,69.0,31.0,165.6,nissan,7799.0
1971.0,97.0,69.0,31.0,165.3,nissan,7499.0
2037.0,97.0,69.0,31.0,170.2,nissan,7999.0
2008.0,97.0,69.0,31.0,162.4,nissan,8249.0
2324.0,120.0,97.0,27.0,173.4,nissan,8949.0
2302.0,120.0,97.0,27.0,173.4,nissan,9549.0
3095.0,181.0,152.0,17.0,181.7,nissan,13499.0
3296.0,181.0,152.0,17.0,184.6,nissan,14399.0
3060.0,181.0,152.0,19.0,184.6,nissan,13499.0
3071.0,181.0,160.0,19.0,170.7,nissan,17199.0
3139.0,181.0,200.0,17.0,170.7,nissan,19699.0
3139.0,181.0,160.0,19.0,178.5,nissan,18399.0
3020.0,120.0,97.0,19.0,186.7,peugot,11900.0
3197.0,152.0,95.0,28.0,186.7,peugot,13200.0
3230.0,120.0,97.0,19.0,198.9,peugot,12440.0
3430.0,152.0,95.0,25.0,198.9,peugot,13860.0
3075.0,120.0,95.0,19.0,186.7,peugot,15580.0
3252.0,152.0,95.0,28.0,186.7,peugot,16900.0
3285.0,120.0,95.0,19.0,198.9,peugot,16695.0
3485.0,152.0,95.0,25.0,198.9,peugot,17075.0
3075.0,120.0,97.0,19.0,186.7,peugot,16630.0
3252.0,152.0,95.0,28.0,186.7,peugot,17950.0
3130.0,134.0,142.0,18.0,186.7,peugot,18150.0
1918.0,90.0,68.0,37.0,157.3,plymouth,5572.0
2128.0,98.0,102.0,24.0,157.3,plymouth,7957.0
1967.0,90.0,68.0,31.0,157.3,plymouth,6229.0
1989.0,90.0,68.0,31.0,167.3,plymouth,6692.0
2191.0,98.0,68.0,31.0,167.3,plymouth,7609.0
2535.0,122.0,88.0,24.0,174.6,plymouth,8921.0
2818.0,156.0,145.0,19.0,173.2,plymouth,12764.0
2778.0,151.0,143.0,19.0,168.9,porsche,22018.0
2756.0,194.0,207.0,17.0,168.9,porsche,32528.0
2756.0,194.0,207.0,17.0,168.9,porsche,34028.0
2800.0,194.0,207.0,17.0,168.9,porsche,37028.0
2579.0,132.0,103.39698492462311,23.0,181.5,renault,9295.0
2460.0,132.0,103.39698492462311,23.0,176.8,renault,9895.0
2658.0,121.0,110.0,21.0,186.6,saab,11850.0
2695.0,121.0,110.0,21.0,186.6,saab,12170.0
2707.0,121.0,110.0,21.0,186.6,saab,15040.0
2758.0,121.0,110.0,21.0,186.6,saab,15510.0
2808.0,121.0,160.0,19.0,186.6,saab,18150.0
2847.0,121.0,160.0,19.0,186.6,saab,18620.0
2050.0,97.0,69.0,31.0,156.9,subaru,5118.0
2120.0,108.0,73.0,26.0,157.9,subaru,7053.0
2240.0,108.0,73.0,26.0,157.3,subaru,7603.0
2145.0,108.0,82.0,32.0,172.0,subaru,7126.0
2190.0,108.0,82.0,28.0,172.0,subaru,7775.0
2340.0,108.0,94.0,26.0,172.0,subaru,9960.0
2385.0,108.0,82.0,24.0,172.0,subaru,9233.0
2510.0,108.0,111.0,24.0,172.0,subaru,11259.0
2290.0,108.0,82.0,28.0,173.5,subaru,7463.0
2455.0,108.0,94.0,25.0,173.5,subaru,10198.0
2420.0,108.0,82.0,23.0,173.6,subaru,8013.0
2650.0,108.0,111.0,23.0,173.6,subaru,11694.0
1985.0,92.0,62.0,35.0,158.7,toyota,5348.0
2040.0,92.0,62.0,31.0,158.7,toyota,6338.0
2015.0,92.0,62.0,31.0,158.7,toyota,6488.0
2280.0,92.0,62.0,31.0,169.7,toyota,6918.0
2290.0,92.0,62.0,27.0,169.7,toyota,7898.0
3110.0,92.0,62.0,27.0,169.7,toyota,8778.0
2081.0,98.0,70.0,30.0,166.3,toyota,6938.0
2109.0,98.0,70.0,30.0,166.3,toyota,7198.0
2275.0,110.0,56.0,34.0,166.3,toyota,7898.0
2275.0,110.0,56.0,38.0,166.3,toyota,7788.0
2094.0,98.0,70.0,38.0,166.3,toyota,7738.0
2122.0,98.0,70.0,28.0,166.3,toyota,8358.0
2140.0,98.0,70.0,28.0,166.3,toyota,9258.0
2169.0,98.0,70.0,29.0,168.7,toyota,8058.0
2204.0,98.0,70.0,29.0,168.7,toyota,8238.0
2265.0,98.0,112.0,26.0,168.7,toyota,9298.0
2300.0,98.0,112.0,26.0,168.7,toyota,9538.0
2540.0,146.0,116.0,24.0,176.2,toyota,8449.0
2536.0,146.0,116.0,24.0,176.2,toyota,9639.0
2551.0,146.0,116.0,24.0,176.2,toyota,9989.0
2679.0,146.0,116.0,24.0,176.2,toyota,11199.0
2714.0,146.0,116.0,24.0,176.2,toyota,11549.0
2975.0,146.0,116.0,24.0,176.2,toyota,17669.0
2326.0,122.0,92.0,29.0,175.6,toyota,8948.0
2480.0,110.0,73.0,30.0,175.6,toyota,10698.0
2414.0,122.0,92.0,27.0,175.6,toyota,9988.0
2414.0,122.0,92.0,27.0,175.6,toyota,10898.0
2458.0,122.0,92.0,27.0,175.6,toyota,11248.0
2976.0,171.0,161.0,20.0,183.5,toyota,16558.0
3016.0,171.0,161.0,19.0,183.5,toyota,15998.0
3131.0,171.0,156.0,20.0,187.8,toyota,15690.0
3151.0,161.0,156.0,19.0,187.8,toyota,15750.0
2261.0,97.0,52.0,37.0,171.7,volkswagen,7775.0
2209.0,109.0,85.0,27.0,171.7,volkswagen,7975.0
2264.0,97.0,52.0,37.0,171.7,volkswagen,7995.0
2212.0,109.0,85.0,27.0,171.7,volkswagen,8195.0
2275.0,109.0,85.0,27.0,171.7,volkswagen,8495.0
2319.0,97.0,68.0,37.0,171.7,volkswagen,9495.0
2300.0,109.0,100.0,26.0,171.7,volkswagen,9995.0
2254.0,109.0,90.0,24.0,159.3,volkswagen,11595.0
2221.0,109.0,90.0,24.0,165.7,volkswagen,9980.0
2661.0,136.0,110.0,19.0,180.2,volkswagen,13295.0
2579.0,97.0,68.0,33.0,180.2,volkswagen,13845.0
2563.0,109.0,88.0,25.0,183.1,volkswagen,12290.0
2912.0,141.0,114.0,23.0,188.8,volvo,12940.0
3034.0,141.0,114.0,23.0,188.8,volvo,13415.0
2935.0,141.0,114.0,24.0,188.8,volvo,15985.0
3042.0,141.0,114.0,24.0,188.8,volvo,16515.0
3045.0,130.0,162.0,17.0,188.8,volvo,18420.0
3157.0,130.0,162.0,17.0,188.8,volvo,18950.0
2952.0,141.0,114.0,23.0,188.8,volvo,16845.0
3049.0,141.0,160.0,19.0,188.8,volvo,19045.0
3012.0,173.0,134.0,18.0,188.8,volvo,21485.0
3217.0,145.0,106.0,26.0,188.8,volvo,22470.0
3062.0,141.0,114.0,19.0,188.8,volvo,22625.0
